DEBUG (0): 60000000200 	 DATA_RECV 	 contents=[from=0 version=0 interval=1024 len=18]
DEBUG (0): 60000000200 	 DATA_SENT
DEBUG (6): 60024108946 	 DATA_SENT
DEBUG (7): 60251464545 	 DATA_SENT
DEBUG (9): 61074676540 	 DATA_SENT
DEBUG (4): 61271209508 	 DATA_SENT
DEBUG (8): 61504821630 	 DATA_SENT
DEBUG (2): 62584075466 	 DATA_SENT
DEBUG (1): 62974853338 	 DATA_SENT
DEBUG (3): 63504028189 	 DATA_SENT
DEBUG (5): 63969421104 	 DATA_SENT
DEBUG (0): 110000000200 	 DATA_RECV 	 contents=[from=0 version=1 interval=1024 len=18]
DEBUG (0): 110000000200 	 DATA_SENT
DEBUG (9): 110026855512 	 DATA_SENT
DEBUG (5): 110135344869 	 DATA_SENT
DEBUG (2): 110158843267 	 DATA_SENT
DEBUG (4): 110203552170 	 DATA_SENT
DEBUG (7): 110258788664 	 DATA_SENT
DEBUG (8): 110532989213 	 DATA_SENT
DEBUG (1): 112341918757 	 DATA_SENT
DEBUG (3): 113195189636 	 DATA_SENT
DEBUG (6): 113451690563 	 DATA_SENT
DEBUG (0): 160000000200 	 DATA_RECV 	 contents=[from=0 version=2 interval=1024 len=18]
DEBUG (0): 160000000200 	 DATA_SENT
DEBUG (9): 160064239327 	 DATA_SENT
DEBUG (5): 160091094639 	 DATA_SENT
DEBUG (1): 160126952584 	 DATA_SENT
DEBUG (2): 160126952584 	 DATA_SENT
DEBUG (4): 160273284600 	 DATA_SENT
DEBUG (6): 160714263880 	 DATA_SENT
DEBUG (3): 160938109864 	 DATA_SENT
DEBUG (7): 162254180719 	 DATA_SENT
DEBUG (8): 190933074664 	 DATA_SENT
DEBUG (0): 210000000200 	 DATA_RECV 	 contents=[from=0 version=3 interval=1024 len=18]
DEBUG (0): 210000000200 	 DATA_SENT
DEBUG (6): 210111236123 	 DATA_SENT
DEBUG (9): 210399627434 	 DATA_SENT
DEBUG (4): 210468749972 	 DATA_SENT
DEBUG (2): 210516509632 	 DATA_SENT
DEBUG (8): 210540618563 	 DATA_SENT
DEBUG (7): 210809631154 	 DATA_SENT
DEBUG (3): 212334899869 	 DATA_SENT
DEBUG (5): 214362029621 	 DATA_SENT
DEBUG (1): 215551910457 	 DATA_SENT
DEBUG (0): 260000000200 	 DATA_RECV 	 contents=[from=0 version=4 interval=1024 len=18]
DEBUG (0): 260000000200 	 DATA_SENT
DEBUG (8): 260035247797 	 DATA_SENT
DEBUG (9): 260055847042 	 DATA_SENT
DEBUG (5): 260108642144 	 DATA_SENT
DEBUG (6): 260130460632 	 DATA_SENT
DEBUG (2): 260190276987 	 DATA_SENT
DEBUG (3): 260250091205 	 DATA_SENT
DEBUG (7): 261050872797 	 DATA_SENT
DEBUG (4): 264824828785 	 DATA_SENT
DEBUG (1): 264911804002 	 DATA_SENT
DEBUG (0): 310000000200 	 DATA_RECV 	 contents=[from=0 version=5 interval=1024 len=18]
DEBUG (0): 310000000200 	 DATA_SENT
DEBUG (6): 310051269432 	 DATA_SENT
DEBUG (7): 310075225591 	 DATA_SENT
DEBUG (8): 310077819570 	 DATA_SENT
DEBUG (9): 310095824836 	 DATA_SENT
DEBUG (1): 310288238411 	 DATA_SENT
DEBUG (2): 310355376862 	 DATA_SENT
DEBUG (4): 310594940162 	 DATA_SENT
DEBUG (3): 314795379266 	 DATA_SENT
DEBUG (5): 314873962084 	 DATA_SENT
DEBUG (0): 360000000200 	 DATA_RECV 	 contents=[from=0 version=6 interval=1024 len=18]
DEBUG (0): 360000000200 	 DATA_SENT
DEBUG (2): 360101928316 	 DATA_SENT
DEBUG (1): 360263671562 	 DATA_SENT
DEBUG (6): 360373840060 	 DATA_SENT
DEBUG (5): 360406951724 	 DATA_SENT
DEBUG (9): 360475463686 	 DATA_SENT
DEBUG (8): 360671996996 	 DATA_SENT
DEBUG (4): 360886688045 	 DATA_SENT
DEBUG (7): 363613433581 	 DATA_SENT
DEBUG (3): 365117645005 	 DATA_SENT
DEBUG (0): 410000000200 	 DATA_RECV 	 contents=[from=0 version=7 interval=1024 len=18]
DEBUG (0): 410000000200 	 DATA_SENT
DEBUG (6): 410089873943 	 DATA_SENT
DEBUG (4): 410249175911 	 DATA_SENT
DEBUG (9): 410276183810 	 DATA_SENT
DEBUG (1): 410297240759 	 DATA_SENT
DEBUG (8): 410408935355 	 DATA_SENT
DEBUG (5): 410437163893 	 DATA_SENT
DEBUG (7): 411181487497 	 DATA_SENT
DEBUG (3): 415558471527 	 DATA_SENT
DEBUG (2): 415629424596 	 DATA_SENT
DEBUG (0): 460000000200 	 DATA_RECV 	 contents=[from=0 version=8 interval=1024 len=18]
DEBUG (0): 460000000200 	 DATA_SENT
DEBUG (7): 460062560870 	 DATA_SENT
DEBUG (8): 460063781566 	 DATA_SENT
DEBUG (1): 460072936786 	 DATA_SENT
DEBUG (6): 460091094639 	 DATA_SENT
DEBUG (9): 460119018060 	 DATA_SENT
DEBUG (2): 460256652389 	 DATA_SENT
DEBUG (4): 460443878120 	 DATA_SENT
DEBUG (5): 464904632470 	 DATA_SENT
DEBUG (3): 465016021664 	 DATA_SENT
DEBUG (0): 510000000200 	 DATA_RECV 	 contents=[from=0 version=9 interval=1024 len=18]
DEBUG (0): 510000000200 	 DATA_SENT
DEBUG (7): 510042571973 	 DATA_SENT
DEBUG (9): 510111388710 	 DATA_SENT
DEBUG (6): 510143431980 	 DATA_SENT
DEBUG (8): 510318450466 	 DATA_SENT
DEBUG (5): 510381011877 	 DATA_SENT
DEBUG (1): 510422667957 	 DATA_SENT
DEBUG (2): 511488342120 	 DATA_SENT
DEBUG (4): 514520263366 	 DATA_SENT
DEBUG (3): 515211639224 	 DATA_SENT
DEBUG (0): 560000000200 	 DATA_RECV 	 contents=[from=0 version=10 interval=1024 len=18]
DEBUG (0): 560000000200 	 DATA_SENT
DEBUG (8): 560042266799 	 DATA_SENT
DEBUG (9): 560060729826 	 DATA_SENT
DEBUG (1): 560322112896 	 DATA_SENT
DEBUG (6): 560350647007 	 DATA_SENT
DEBUG (4): 560602874458 	 DATA_SENT
DEBUG (5): 560656280022 	 DATA_SENT
DEBUG (7): 560994262222 	 DATA_SENT
DEBUG (2): 562273559268 	 DATA_SENT
DEBUG (3): 565324859234 	 DATA_SENT
DEBUG (0): 610000000200 	 DATA_RECV 	 contents=[from=0 version=11 interval=1024 len=18]
DEBUG (0): 610000000200 	 DATA_SENT
DEBUG (1): 610024566707 	 DATA_SENT
DEBUG (2): 610041503864 	 DATA_SENT
DEBUG (7): 610071716090 	 DATA_SENT
DEBUG (5): 610100860207 	 DATA_SENT
DEBUG (9): 610357055718 	 DATA_SENT
DEBUG (8): 610457457964 	 DATA_SENT
DEBUG (4): 610704650386 	 DATA_SENT
DEBUG (6): 613104858032 	 DATA_SENT
DEBUG (3): 614585418414 	 DATA_SENT
DEBUG (0): 660000000200 	 DATA_RECV 	 contents=[from=0 version=12 interval=1024 len=18]
DEBUG (0): 660000000200 	 DATA_SENT
DEBUG (8): 660050048736 	 DATA_SENT
DEBUG (1): 660065612610 	 DATA_SENT
DEBUG (9): 660107879209 	 DATA_SENT
DEBUG (7): 660115203385 	 DATA_SENT
DEBUG (5): 660151519604 	 DATA_SENT
DEBUG (2): 660213928029 	 DATA_SENT
DEBUG (6): 660453185870 	 DATA_SENT
DEBUG (3): 664984588628 	 DATA_SENT
DEBUG (4): 665562896265 	 DATA_SENT
DEBUG (0): 710000000200 	 DATA_RECV 	 contents=[from=0 version=13 interval=1024 len=18]
DEBUG (0): 710000000200 	 DATA_SENT
DEBUG (1): 710037689189 	 DATA_SENT
DEBUG (2): 710128783628 	 DATA_SENT
DEBUG (9): 710260467292 	 DATA_SENT
DEBUG (4): 710322875489 	 DATA_SENT
DEBUG (6): 710343017372 	 DATA_SENT
DEBUG (8): 710418701208 	 DATA_SENT
DEBUG (5): 712693481029 	 DATA_SENT
DEBUG (7): 714064635734 	 DATA_SENT
DEBUG (3): 714916534313 	 DATA_SENT
DEBUG (0): 760000000200 	 DATA_RECV 	 contents=[from=0 version=14 interval=1024 len=18]
DEBUG (0): 760000000200 	 DATA_SENT
DEBUG (1): 760034332275 	 DATA_SENT
DEBUG (8): 760047912518 	 DATA_SENT
DEBUG (9): 760106353339 	 DATA_SENT
DEBUG (2): 760227355628 	 DATA_SENT
DEBUG (7): 760276794101 	 DATA_SENT
DEBUG (4): 760319671048 	 DATA_SENT
DEBUG (5): 760599822661 	 DATA_SENT
DEBUG (6): 763014373542 	 DATA_SENT
DEBUG (3): 764963378579 	 DATA_SENT
DEBUG (0): 810000000200 	 DATA_RECV 	 contents=[from=0 version=15 interval=1024 len=18]
DEBUG (0): 810000000200 	 DATA_SENT
DEBUG (2): 810134124173 	 DATA_SENT
DEBUG (9): 810233764510 	 DATA_SENT
DEBUG (7): 810334014511 	 DATA_SENT
DEBUG (8): 810458678603 	 DATA_SENT
DEBUG (4): 810483245210 	 DATA_SENT
DEBUG (1): 810761870967 	 DATA_SENT
DEBUG (5): 810762328842 	 DATA_SENT
DEBUG (6): 813406371939 	 DATA_SENT
DEBUG (3): 815021514796 	 DATA_SENT
DEBUG (0): 860000000200 	 DATA_RECV 	 contents=[from=0 version=16 interval=1024 len=18]
DEBUG (0): 860000000200 	 DATA_SENT
DEBUG (1): 860053863411 	 DATA_SENT
DEBUG (9): 860086669616 	 DATA_SENT
DEBUG (8): 860204315105 	 DATA_SENT
DEBUG (7): 860312957391 	 DATA_SENT
DEBUG (4): 860419463858 	 DATA_SENT
DEBUG (2): 860546112094 	 DATA_SENT
DEBUG (6): 860563964716 	 DATA_SENT
DEBUG (5): 863491210482 	 DATA_SENT
DEBUG (3): 865016936958 	 DATA_SENT
DEBUG (0): 910000000200 	 DATA_RECV 	 contents=[from=0 version=17 interval=1024 len=18]
DEBUG (0): 910000000200 	 DATA_SENT
DEBUG (6): 910034637449 	 DATA_SENT
DEBUG (1): 910045165952 	 DATA_SENT
DEBUG (7): 910284270807 	 DATA_SENT
DEBUG (2): 910431212943 	 DATA_SENT
DEBUG (8): 910461577984 	 DATA_SENT
DEBUG (9): 910800018173 	 DATA_SENT
DEBUG (4): 910859069855 	 DATA_SENT
DEBUG (5): 913495635733 	 DATA_SENT
DEBUG (3): 914856109291 	 DATA_SENT
DEBUG (0): 960000000200 	 DATA_RECV 	 contents=[from=0 version=18 interval=1024 len=18]
DEBUG (0): 960000000200 	 DATA_SENT
DEBUG (1): 960025634816 	 DATA_SENT
DEBUG (9): 960079192853 	 DATA_SENT
DEBUG (6): 960131682781 	 DATA_SENT
DEBUG (7): 960159301769 	 DATA_SENT
DEBUG (4): 960187377834 	 DATA_SENT
DEBUG (8): 960260772580 	 DATA_SENT
DEBUG (5): 960665130524 	 DATA_SENT
DEBUG (3): 964618987554 	 DATA_SENT
DEBUG (2): 965111083764 	 DATA_SENT
DEBUG (0): 1010000000200 	 DATA_RECV 	 contents=[from=0 version=19 interval=1024 len=18]
DEBUG (0): 1010000000200 	 DATA_SENT
DEBUG (1): 1010113677515 	 DATA_SENT
DEBUG (9): 1010219879036 	 DATA_SENT
DEBUG (6): 1010301055377 	 DATA_SENT
DEBUG (8): 1010378265311 	 DATA_SENT
DEBUG (4): 1010398254379 	 DATA_SENT
DEBUG (7): 1010522002778 	 DATA_SENT
DEBUG (2): 1010657806405 	 DATA_SENT
DEBUG (5): 1013644409084 	 DATA_SENT
DEBUG (3): 1014864043701 	 DATA_SENT
DEBUG (0): 1060000000200 	 DATA_RECV 	 contents=[from=0 version=20 interval=1024 len=18]
DEBUG (0): 1060000000200 	 DATA_SENT
DEBUG (6): 1060084228224 	 DATA_SENT
DEBUG (7): 1060114898211 	 DATA_SENT
DEBUG (9): 1060122069800 	 DATA_SENT
DEBUG (8): 1060341949320 	 DATA_SENT
DEBUG (5): 1060383758386 	 DATA_SENT
DEBUG (3): 1060473937588 	 DATA_SENT
DEBUG (2): 1061502837999 	 DATA_SENT
DEBUG (4): 1062343902274 	 DATA_SENT
DEBUG (1): 1065107574434 	 DATA_SENT
DEBUG (0): 1110000000200 	 DATA_RECV 	 contents=[from=0 version=21 interval=1024 len=18]
DEBUG (0): 1110000000200 	 DATA_SENT
DEBUG (9): 1110028228795 	 DATA_SENT
DEBUG (3): 1110058441021 	 DATA_SENT
DEBUG (8): 1110086517029 	 DATA_SENT
DEBUG (7): 1110140380240 	 DATA_SENT
DEBUG (5): 1110179901014 	 DATA_SENT
DEBUG (4): 1110250396208 	 DATA_SENT
DEBUG (6): 1110767211797 	 DATA_SENT
DEBUG (1): 1115068206646 	 DATA_SENT
DEBUG (2): 1117029418757 	 DATA_SENT
DEBUG (0): 1160000000200 	 DATA_RECV 	 contents=[from=0 version=22 interval=1024 len=18]
DEBUG (0): 1160000000200 	 DATA_SENT
DEBUG (6): 1160025329642 	 DATA_SENT
DEBUG (3): 1160087432551 	 DATA_SENT
DEBUG (2): 1160109405079 	 DATA_SENT
DEBUG (9): 1160154418985 	 DATA_SENT
DEBUG (8): 1160252685241 	 DATA_SENT
DEBUG (4): 1160637512220 	 DATA_SENT
DEBUG (7): 1161038207848 	 DATA_SENT
DEBUG (5): 1163183135505 	 DATA_SENT
DEBUG (1): 1164904784943 	 DATA_SENT
DEBUG (0): 1210000000200 	 DATA_RECV 	 contents=[from=0 version=23 interval=1024 len=18]
DEBUG (0): 1210000000200 	 DATA_SENT
DEBUG (6): 1210080718723 	 DATA_SENT
DEBUG (3): 1210103454186 	 DATA_SENT
DEBUG (2): 1210131835368 	 DATA_SENT
DEBUG (7): 1210156249744 	 DATA_SENT
DEBUG (9): 1210192871023 	 DATA_SENT
DEBUG (8): 1210231475819 	 DATA_SENT
DEBUG (5): 1210258331245 	 DATA_SENT
DEBUG (4): 1214121093437 	 DATA_SENT
DEBUG (1): 1214874725304 	 DATA_SENT
DEBUG (0): 1260000000200 	 DATA_RECV 	 contents=[from=0 version=24 interval=1024 len=18]
DEBUG (0): 1260000000200 	 DATA_SENT
DEBUG (6): 1260067596241 	 DATA_SENT
DEBUG (3): 1260070342807 	 DATA_SENT
DEBUG (2): 1260089873943 	 DATA_SENT
DEBUG (8): 1260371704070 	 DATA_SENT
DEBUG (5): 1260395965232 	 DATA_SENT
DEBUG (9): 1260434722444 	 DATA_SENT
DEBUG (4): 1260632476678 	 DATA_SENT
DEBUG (7): 1264277343779 	 DATA_SENT
DEBUG (1): 1265187377720 	 DATA_SENT
DEBUG (0): 1310000000200 	 DATA_RECV 	 contents=[from=0 version=25 interval=1024 len=18]
DEBUG (0): 1310000000200 	 DATA_SENT
DEBUG (3): 1310053558237 	 DATA_SENT
DEBUG (5): 1310151672305 	 DATA_SENT
DEBUG (9): 1310230102365 	 DATA_SENT
DEBUG (8): 1310247802628 	 DATA_SENT
DEBUG (7): 1310287475305 	 DATA_SENT
DEBUG (6): 1310328826496 	 DATA_SENT
DEBUG (2): 1310400847959 	 DATA_SENT
DEBUG (4): 1314681700355 	 DATA_SENT
DEBUG (1): 1314880676083 	 DATA_SENT
DEBUG (0): 1360000000200 	 DATA_RECV 	 contents=[from=0 version=26 interval=1024 len=18]
DEBUG (0): 1360000000200 	 DATA_SENT
DEBUG (8): 1360026550338 	 DATA_SENT
DEBUG (6): 1360072936786 	 DATA_SENT
