gain	0	2	-15
gain	0	3	-6
gain	0	16	-15
gain	0	20	-26
gain	0	27	-12
gain	0	34	-19
gain	0	38	-28
gain	0	40	-12
gain	0	44	-8
gain	1	5	-29
gain	1	14	-5
gain	1	24	-8
gain	1	34	-29
gain	1	45	-26
gain	1	47	-12
gain	1	48	-16
gain	1	49	-14
gain	2	32	-26
gain	2	40	-18
gain	2	46	-27
gain	3	5	-9
gain	3	10	-5
gain	3	12	-3
gain	3	14	-27
gain	3	16	-27
gain	3	20	-19
gain	3	25	-4
gain	3	38	-25
gain	3	43	-29
gain	3	45	-4
gain	3	46	-22
gain	3	48	-26
gain	4	1	-18
gain	4	2	-16
gain	4	6	-14
gain	4	9	-25
gain	4	11	-23
gain	4	40	-18
gain	5	7	-26
gain	5	11	-27
gain	5	30	-13
gain	5	31	-12
gain	5	34	-24
gain	5	44	-25
gain	6	0	-14
gain	6	2	-5
gain	6	7	-5
gain	6	10	-4
gain	6	11	-1
gain	6	19	-5
gain	6	31	-25
gain	6	37	-27
gain	6	45	-1
gain	7	2	-28
gain	7	4	-8
gain	7	13	-19
gain	7	21	-18
gain	7	23	-9
gain	7	26	-4
gain	7	27	-13
gain	7	35	-2
gain	7	38	-3
gain	7	41	-27
gain	7	44	-12
gain	8	2	-12
gain	8	12	-23
gain	8	19	-23
gain	8	26	-13
gain	8	29	-5
gain	8	31	-29
gain	8	34	-1
gain	8	40	-7
gain	8	43	-17
gain	9	0	-14
gain	9	2	-29
gain	9	7	-28
gain	9	14	-6
gain	9	17	-19
gain	9	24	-11
gain	9	40	-5
gain	10	1	-22
gain	10	5	-1
gain	10	12	-30
gain	10	15	-26
gain	10	29	0
gain	10	45	-24
gain	10	49	-15
gain	11	4	-25
gain	11	33	-3
gain	11	34	-27
gain	11	46	-15
gain	11	49	-7
gain	12	15	-29
gain	12	25	-7
gain	12	26	-28
gain	12	30	-12
gain	12	33	-16
gain	12	35	-5
gain	12	48	-30
gain	13	14	-6
gain	13	45	-2
gain	14	5	-6
gain	14	8	-2
gain	14	11	-16
gain	14	15	0
gain	14	18	-10
gain	14	29	-10
gain	14	34	-25
gain	14	35	-10
gain	14	41	-3
gain	14	42	-21
gain	14	45	-9
gain	14	46	-19
gain	14	48	-23
gain	14	49	-18
gain	15	5	-10
gain	15	11	-19
gain	15	16	-23
gain	15	22	0
gain	15	29	-15
gain	15	32	-6
gain	15	34	0
gain	15	41	-5
gain	15	42	-15
gain	15	48	-25
gain	16	1	-5
gain	16	12	-8
gain	16	13	-1
gain	16	20	-21
gain	16	24	-6
gain	16	29	-6
gain	16	43	-28
gain	16	44	-25
gain	16	49	-24
gain	17	1	-17
gain	17	5	-21
gain	17	21	-24
gain	17	29	-18
gain	17	30	-25
gain	17	33	-28
gain	17	39	-20
gain	17	48	-6
gain	18	11	-26
gain	18	38	-29
gain	19	5	-12
gain	19	7	-19
gain	19	21	-19
gain	19	26	-26
gain	19	27	-29
gain	19	33	-5
gain	19	35	-13
gain	20	0	-4
gain	20	4	-9
gain	20	23	-26
gain	20	35	-25
gain	20	40	-30
gain	20	48	-4
gain	21	2	-8
gain	21	3	-23
gain	21	6	-5
gain	21	8	-23
gain	21	14	-24
gain	21	19	-4
gain	21	22	-20
gain	21	26	-8
gain	21	28	-21
gain	21	31	-7
gain	21	44	0
gain	21	47	-30
gain	21	49	-22
gain	22	11	-4
gain	22	43	-13
gain	22	46	-10
gain	22	47	-11
gain	23	8	-18
gain	23	10	-9
gain	23	13	-4
gain	23	14	-13
gain	23	22	-2
gain	23	26	-3
gain	23	29	-27
gain	23	32	-12
gain	23	40	-12
gain	23	49	-23
gain	24	6	-23
gain	24	13	-13
gain	24	16	-5
gain	24	18	-29
gain	24	21	-1
gain	24	28	-7
gain	24	31	-17
gain	24	38	-14
gain	24	40	-29
gain	24	45	-28
gain	25	1	-6
gain	25	4	-19
gain	25	11	-11
gain	25	28	-5
gain	25	39	-22
gain	25	43	-1
gain	25	49	-30
gain	26	2	-26
gain	26	16	0
gain	26	33	-24
gain	26	37	-15
gain	26	42	-25
gain	27	20	-3
gain	27	21	-27
gain	27	34	-15
gain	27	37	-7
gain	28	2	-29
gain	28	12	-7
gain	28	13	-28
gain	28	17	-12
gain	28	20	-16
gain	28	22	-5
gain	28	36	-22
gain	29	1	-6
gain	29	33	-2
gain	29	43	-6
gain	29	46	-2
gain	29	49	-16
gain	30	2	0
gain	30	5	-10
gain	30	16	-10
gain	30	21	-25
gain	30	22	-10
gain	30	28	-3
gain	30	29	-21
gain	30	33	-9
gain	30	34	-19
gain	30	36	-23
gain	30	37	-18
gain	30	43	-10
gain	30	49	-19
gain	31	3	-23
gain	31	9	0
gain	31	16	-15
gain	31	19	-6
gain	31	21	0
gain	31	28	-5
gain	31	29	-15
gain	31	36	-25
gain	31	39	-5
gain	32	0	-8
gain	32	1	-1
gain	32	7	-21
gain	32	11	-6
gain	32	16	-6
gain	32	30	-28
gain	32	31	-25
gain	32	37	-24
gain	32	39	-17
gain	32	43	-21
gain	33	8	-24
gain	33	16	-18
gain	33	17	-25
gain	33	20	-28
gain	33	26	-20
gain	33	36	-6
gain	33	49	-26
gain	34	25	-29
gain	34	43	-12
gain	34	45	-19
gain	35	8	-19
gain	35	13	-26
gain	35	14	-29
gain	35	20	-5
gain	35	22	-13
gain	35	38	-4
gain	35	42	-9
gain	36	10	-26
gain	36	22	-25
gain	36	27	-30
gain	36	35	-4
gain	36	40	-8
gain	36	41	-23
gain	36	44	-5
gain	36	46	-23
gain	37	2	-24
gain	37	7	-4
gain	37	9	-20
