
5999	DFY	14731.5	125.145415417	14942	14437	D-edges 378 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 38 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 13 	DD 30 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5998	DGB	14662.6875	97.5331474103	14906	14533	D-edges 379 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 15 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 39 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 12 	DD 30 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5997	DFS	14649.8125	112.233138349	14888	14461	D-edges 377 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 38 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 13 	DD 30 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 18 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5996	DF2	14646.25	101.938400517	14868	14483	D-edges 385 	D-max-degree 23 	D-min-degree 6 	D-max-in-degree 15 	D-min-in-degree 1 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 37 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 14 	DD 30 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 9
5995	DEH	14642.9375	108.043665218	14889	14457	D-edges 373 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 3 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 40 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 11 	DD 36 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5994	DFC	14627.9375	121.895687347	14821	14391	D-edges 380 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 3 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 37 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 14 	DD 33 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 20 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 9
5993	DFF	14625.6875	76.5430587562	14746	14446	D-edges 376 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 38 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 13 	DD 30 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 18 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5992	DEW	14602.0625	170.096468493	14982	14373	D-edges 379 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 3 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 37 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 14 	DD 33 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 20 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 9
5991	DET	14600.4375	114.570376161	14898	14386	D-edges 378 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 3 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 36 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 20 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 9
5990	C6U	14581.25	178.845079608	14755	14188	D-edges 371 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 36 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5989	DF3	14551.75	125.714706777	14694	14175	D-edges 371 	D-max-degree 21 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 37 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 14 	DD 31 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 18 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 9
5988	DEA	14548.6875	122.553416288	14721	14290	D-edges 370 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 37 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 14 	DD 28 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 18 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5987	C6A	14532.5	143.779779524	14831	14356	D-edges 372 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 36 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5986	DD7	14512.9375	137.350586434	14791	14316	D-edges 380 	D-max-degree 22 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 38 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 14 	DD 29 	NSUC.disc 14 	CSUC.disc 2 	min_CSUC.disc 6 	all_sinkless_cycles 14 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 13
5985	DDY	14497.0	126.868041681	14732	14214	D-edges 372 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 37 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 14 	DD 28 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5984	CTA	14480.75	158.369228387	14734	14203	D-edges 370 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 35 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 16 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5983	C5I	14479.625	132.674825702	14746	14242	D-edges 371 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 37 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 9 	NSUC.conn 3 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 14
5982	DDW	14478.75	123.491143407	14698	14296	D-edges 371 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 37 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 14 	DD 28 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 18 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5981	C6R	14469.3125	153.429429523	14714	14134	D-edges 371 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 37 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 14 	DD 28 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 18 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5980	BN4	14460.3125	131.942088978	14660	14217	D-edges 366 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 35 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 16 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5979	CD5	14457.0625	140.60426236	14701	14238	D-edges 372 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 36 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5978	C2T	14455.375	161.93010645	14726	14105	D-edges 370 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 36 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5977	DBF	14449.0625	162.9652834	14737	14139	D-edges 376 	D-max-degree 22 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 3 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 41 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 10 	DD 6 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 20 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 9
5976	DCJ	14443.4375	121.832861305	14655	14238	D-edges 372 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 36 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5975	C3J	14437.625	133.410960476	14702	14232	D-edges 375 	D-max-degree 22 	D-min-degree 7 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 34 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 17 	DD 31 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5974	CSO	14435.25	205.397328366	14738	14024	D-edges 369 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 35 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 0	NSUC-D-max-in-degree 0	NSUC-D-max-out-degree 0
5973	CSS	14432.4375	165.874941127	14710	14188	D-edges 370 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 36 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5972	DEO	14425.875	161.450021291	14713	14042	D-edges 369 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 3 	D-max-out-degree 13 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 34 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 17 	DD 31 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
5971	DDH	14425.1875	120.015217134	14634	14210	D-edges 380 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 12 	D-min-in-degree 3 	D-max-out-degree 15 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 36 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 14 	DD 34 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 0	NSUC-D-max-in-degree 0	NSUC-D-max-out-degree 0
5970	CJC	14423.25	151.100339179	14727	14176	D-edges 372 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 37 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 10 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 13
5969	CQR	14420.375	153.301123202	14708	14164	D-edges 372 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 14 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 36 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 15 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 19 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 9
