
5999	BTC	13790.5	243.987704608	14129	13354	D-edges 39 	D-max-degree 11 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 11 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 6
5998	BMP	13779.625	140.00574765	14003	13505	D-edges 37 	D-max-degree 9 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 9 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5997	AGY	13778.5625	153.203691515	14038	13403	D-edges 38 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5996	AWK	13770.3125	199.119222688	14036	13330	D-edges 39 	D-max-degree 10 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 2 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5995	BOI	13716.25	230.872394409	14055	13225	D-edges 38 	D-max-degree 9 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 2 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 9 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5994	BRS	13715.0	196.065677772	13993	13291	D-edges 38 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 8 	NSUC-D-max-out-degree 5
5993	BPU	13712.3125	150.226794693	13975	13485	D-edges 38 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5992	BJP	13708.8125	256.03349848	14053	13042	D-edges 36 	D-max-degree 9 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 9 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5991	BIE	13685.0625	177.505798761	14025	13431	D-edges 39 	D-max-degree 10 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 2 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5990	BR6	13661.9375	227.676433989	14059	13265	D-edges 37 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 6 	NSUC-D-max-out-degree 5
5989	BD3	13652.375	162.994583882	13950	13436	D-edges 36 	D-max-degree 9 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 9 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5988	A4C	13650.5	202.193904458	13991	13329	D-edges 37 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5987	A3T	13648.375	177.758922069	14010	13309	D-edges 37 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 8 	NSUC-D-max-out-degree 5
5986	AK6	13648.3125	242.553014501	14070	13200	D-edges 39 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 8 	NSUC-D-max-out-degree 5
5985	BOO	13647.1875	296.453035646	14096	13142	D-edges 39 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 8 	NSUC-D-max-out-degree 5
5984	BHL	13641.1875	479.904055352	14057	11972	D-edges 39 	D-max-degree 10 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 2 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 8 	NSUC-D-max-out-degree 5
5983	BL2	13639.5	204.510085326	14053	13324	D-edges 39 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 8 	NSUC-D-max-out-degree 5
5982	A4T	13636.5625	138.786692783	13807	13222	D-edges 36 	D-max-degree 9 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 9 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5981	BC2	13633.5	194.931077563	13878	13166	D-edges 37 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5980	AFQ	13629.625	292.419192898	14093	12871	D-edges 37 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 6 	NSUC-D-max-out-degree 5
5979	ARX	13624.75	237.409061537	14073	13202	D-edges 37 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 10 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
