# generation	 generation_size	 entropy	 age_avg	 size_avg	 fitness_avg	 fitness_max	 fitness_min	 sigma	 tau	 evaluations
1	 40	 0	 1	 96	 2101.4	 12846.3	 440.188	 0.9	 2	 40
2	 5	 9.83222	 1.675	 96	 2131.8	 12846.3	 476.625	 0.9	 2	 45
3	 8	 9.75464	 2.075	 96	 2351.68	 12846.3	 577.312	 0.9	 2	 53
4	 6	 9.59652	 2.4	 96	 2789.94	 12846.3	 633.625	 0.9	 2	 59
5	 6	 9.54165	 2.75	 96	 3233.77	 12846.3	 758.438	 0.9	 2	 65
6	 6	 9.46544	 2.875	 96	 3349.56	 12846.3	 857.938	 0.9	 2	 71
7	 9	 9.30936	 2.825	 96	 3664.03	 12846.3	 1228.81	 0.9	 2	 80
8	 9	 9.29825	 3.3	 96	 3846.17	 12846.3	 1238.62	 0.9	 2	 89
9	 8	 9.27609	 3.625	 96	 4018.56	 12846.3	 1243.56	 0.9	 2	 97
10	 6	 9.2848	 3.825	 96	 4464.7	 12995.3	 1251.69	 0.91	 2	 103
11	 7	 9.28375	 4	 96	 4924	 12995.3	 1270.44	 0.91	 2	 110
12	 7	 9.27836	 4.275	 96	 4954.09	 12995.3	 1286.12	 0.91	 2	 117
13	 5	 9.20388	 4.3	 96	 5145.45	 12995.3	 2406.56	 0.91	 2	 122
14	 6	 9.1794	 4.225	 96	 5483.38	 12995.3	 2454.81	 0.91	 2	 128
15	 7	 9.18945	 4.425	 96	 5743.1	 12995.3	 2597.69	 0.91	 2	 135
16	 9	 9.12313	 4.65	 96	 6099.1	 12995.3	 2688.06	 0.91	 2	 144
17	 7	 9.13123	 4.825	 96	 6615.7	 12995.3	 2875.44	 0.91	 2	 151
18	 5	 9.11951	 5.25	 96	 6999.77	 12995.3	 2920.75	 0.91	 2	 156
19	 7	 9.10406	 5.3	 96	 7560.51	 12995.3	 3167.44	 0.91	 2	 163
20	 8	 9.03245	 5.225	 96	 8070.4	 12995.3	 3317.69	 0.91	 2	 171
21	 7	 8.92797	 4	 96	 8275.21	 12995.3	 3711.06	 0.91	 2	 178
22	 9	 8.922	 3.775	 96	 9415.02	 12995.3	 4168.19	 0.91	 2	 187
23	 9	 8.83791	 3.225	 96	 10448.1	 12995.3	 4599.88	 0.91	 2	 196
24	 7	 8.87956	 3.625	 96	 10737.4	 12995.3	 4971.31	 0.91	 2	 203
25	 7	 8.98505	 3.55	 96	 11513.4	 12995.3	 5657.06	 0.91	 2	 210
26	 8	 9.00891	 3.9	 96	 12065.1	 12995.3	 8311.12	 0.91	 2	 218
27	 6	 8.90832	 3.775	 96	 12566	 12995.3	 11603.7	 0.91	 2	 224
28	 8	 8.84959	 3.825	 96	 12659.4	 13016.6	 12216	 0.919	 2	 232
29	 5	 8.84543	 3.95	 96	 12682.2	 13016.6	 12341	 0.919	 2	 237
30	 8	 8.7979	 4.125	 96	 12729.8	 13026.8	 12452.1	 0.9271	 2	 245
31	 7	 8.785	 4.825	 96	 12739.1	 13026.8	 12452.9	 0.9271	 2	 252
32	 5	 8.73005	 4.825	 96	 12771.6	 13026.9	 12502.5	 0.93439	 2	 257
33	 6	 8.71114	 5.075	 96	 12779.1	 13026.9	 12565.4	 0.93439	 2	 263
34	 8	 8.71182	 5.05	 96	 12800.2	 13026.9	 12587.1	 0.840951	 2	 271
35	 6	 8.71511	 5.475	 96	 12807.2	 13026.9	 12600.8	 0.756856	 2	 277
36	 6	 8.69427	 5.7	 96	 12816.9	 13026.9	 12625.1	 0.68117	 2	 283
37	 8	 8.686	 5.95	 96	 12824.4	 13026.9	 12667.5	 0.68117	 2	 291
38	 10	 8.65509	 6.3	 96	 12840.8	 13026.9	 12679.2	 0.68117	 2	 301
39	 5	 8.66784	 6.3	 96	 12857.5	 13183.9	 12703.2	 0.713053	 2	 306
40	 9	 8.6547	 5.775	 96	 12867.8	 13183.9	 12730.4	 0.641748	 2	 315
41	 9	 8.63883	 6.05	 96	 12870.9	 13183.9	 12734.7	 0.641748	 2	 324
42	 5	 8.60142	 6	 96	 12881	 13183.9	 12746.1	 0.641748	 2	 329
43	 9	 8.57329	 5.675	 96	 12892.7	 13183.9	 12769.6	 0.641748	 2	 338
44	 7	 8.58545	 6.275	 96	 12897.8	 13183.9	 12775.7	 0.577573	 2	 345
45	 7	 8.60788	 6.175	 96	 12917.9	 13199.3	 12796.4	 0.619816	 2	 352
46	 7	 8.61763	 6	 96	 12929.3	 13199.3	 12808.9	 0.619816	 2	 359
47	 5	 8.63074	 5.525	 96	 12956	 13199.3	 12825.2	 0.619816	 2	 364
48	 6	 8.59092	 5.4	 96	 12961.4	 13199.3	 12827.4	 0.619816	 2	 370
49	 7	 8.58025	 6.05	 96	 12968.2	 13199.3	 12827.5	 0.557834	 2	 377
50	 7	 8.59916	 5.775	 96	 12980.2	 13199.3	 12850.8	 0.557834	 2	 384
51	 9	 8.60988	 5.5	 96	 12996	 13199.3	 12864.4	 0.557834	 2	 393
52	 7	 8.60479	 5.675	 96	 13001.5	 13199.3	 12881.9	 0.557834	 2	 400
53	 6	 8.62317	 5.55	 96	 13017.3	 13199.3	 12893.1	 0.557834	 2	 406
54	 5	 8.61728	 5.75	 96	 13023	 13199.3	 12902.4	 0.557834	 2	 411
55	 7	 8.62957	 5.925	 96	 13034.2	 13199.3	 12914.1	 0.557834	 2	 418
56	 7	 8.61482	 5.8	 96	 13044.5	 13199.3	 12935.3	 0.557834	 2	 425
57	 4	 8.58462	 5.75	 96	 13051.4	 13199.3	 12949.8	 0.557834	 2	 429
58	 6	 8.58247	 5.375	 96	 13059	 13199.3	 12974.7	 0.557834	 2	 435
59	 5	 8.57279	 5.325	 96	 13066.1	 13199.3	 12980.8	 0.557834	 2	 440
60	 7	 8.54128	 5.575	 96	 13072.5	 13199.3	 12982.7	 0.557834	 2	 447
61	 5	 8.51389	 6.25	 96	 13073.7	 13199.3	 12983.3	 0.502051	 2	 452
62	 7	 8.4879	 5.525	 96	 13081.2	 13199.3	 12995.3	 0.502051	 2	 459
63	 6	 8.44886	 5.85	 96	 13091.4	 13233.5	 13008.4	 0.551846	 2	 465
64	 5	 8.42822	 5.775	 96	 13094.9	 13233.5	 13015.6	 0.496661	 2	 470
65	 6	 8.37206	 5.55	 96	 13108.5	 13233.5	 13026.8	 0.496661	 2	 476
66	 6	 8.34054	 5.525	 96	 13111.9	 13233.5	 13029.4	 0.496661	 2	 482
67	 4	 8.36241	 5.725	 96	 13116.4	 13233.5	 13037.6	 0.496661	 2	 486
68	 4	 8.36531	 5.725	 96	 13118.5	 13233.5	 13048.8	 0.496661	 2	 490
69	 6	 8.33307	 5.75	 96	 13123	 13233.5	 13054.2	 0.496661	 2	 496
70	 6	 8.32732	 5.525	 96	 13132.3	 13233.5	 13068	 0.496661	 2	 502
71	 5	 8.34811	 5.3	 96	 13137.4	 13233.5	 13086.6	 0.496661	 2	 507
72	 5	 8.3548	 5.9	 96	 13147.8	 13352.6	 13088.1	 0.546995	 2	 512
73	 5	 8.3719	 6.55	 96	 13150.2	 13352.6	 13089.2	 0.546995	 2	 517
74	 5	 8.38249	 6.225	 96	 13156.7	 13352.6	 13091	 0.546995	 2	 522
75	 4	 8.36942	 6.05	 96	 13159.6	 13352.6	 13099.4	 0.546995	 2	 526
76	 4	 8.35338	 6.325	 96	 13160.7	 13352.6	 13100.2	 0.546995	 2	 530
77	 7	 8.37699	 6.4	 96	 13161.4	 13352.6	 13102.5	 0.492296	 2	 537
78	 6	 8.37445	 6.225	 96	 13165.8	 13352.6	 13104.5	 0.492296	 2	 543
79	 6	 8.35899	 6.725	 96	 13169.6	 13352.6	 13111.1	 0.492296	 2	 549
80	 5	 8.35636	 6.55	 96	 13176.3	 13352.6	 13125.9	 0.492296	 2	 554
81	 4	 8.34974	 6.95	 96	 13180.1	 13352.6	 13133.1	 0.492296	 2	 558
82	 5	 8.36857	 6.825	 96	 13181.6	 13352.6	 13136.6	 0.492296	 2	 563
83	 5	 8.34129	 6.775	 96	 13184	 13352.6	 13138.7	 0.492296	 2	 568
84	 5	 8.34287	 6.8	 96	 13186.3	 13352.6	 13143.4	 0.492296	 2	 573
85	 6	 8.33111	 6.975	 96	 13189.3	 13352.6	 13144.6	 0.492296	 2	 579
86	 5	 8.30456	 7.3	 96	 13194.7	 13361.6	 13148.1	 0.543066	 2	 584
87	 6	 8.30251	 7.5	 96	 13195	 13361.6	 13149.5	 0.488759	 2	 590
88	 4	 8.30251	 8.25	 96	 13195	 13361.6	 13149.5	 0.439883	 2	 594
89	 5	 8.29635	 8.55	 96	 13196.8	 13361.6	 13152.6	 0.439883	 2	 599
90	 5	 8.28782	 8.875	 96	 13198.3	 13361.6	 13156.7	 0.395895	 2	 604
91	 5	 8.26991	 8.375	 96	 13199.5	 13361.6	 13159	 0.356306	 2	 609
92	 5	 8.25825	 9	 96	 13200.7	 13361.6	 13161.3	 0.356306	 2	 614
93	 6	 8.26867	 9.175	 96	 13202.6	 13361.6	 13162.3	 0.356306	 2	 620
94	 4	 8.25283	 8.95	 96	 13207.5	 13361.6	 13166.1	 0.356306	 2	 624
95	 5	 8.26583	 9.525	 96	 13208.8	 13361.6	 13167.1	 0.356306	 2	 629
96	 4	 8.27471	 9.025	 96	 13210.6	 13361.6	 13171.2	 0.356306	 2	 633
97	 5	 8.29339	 9.075	 96	 13211.7	 13361.6	 13173.8	 0.320675	 2	 638
98	 5	 8.29945	 9.175	 96	 13212.3	 13361.6	 13175.9	 0.320675	 2	 643
99	 6	 8.34128	 8.45	 96	 13222.2	 13464.8	 13181.8	 0.388608	 2	 649
100	 4	 8.34248	 8.575	 96	 13224.7	 13464.8	 13182.4	 0.388608	 2	 653
101	 3	 8.3294	 8.75	 96	 13225.5	 13464.8	 13182.9	 0.388608	 2	 656
102	 5	 8.3134	 8.6	 96	 13226.1	 13464.8	 13184.2	 0.388608	 2	 661
