
5999	AC5	105111.0	817.213023024	106384	103617	D-edges 41 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 8 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 8 	NSUC.conn 0
5998	AB7	104539.4375	1046.3984643	105888	101726	D-edges 41 	D-max-degree 10 	D-min-degree 6 	D-max-in-degree 5 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 8 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 8 	NSUC.conn 0
5997	4J	104254.125	1000.15716734	106521	102348	D-edges 42 	D-max-degree 10 	D-min-degree 6 	D-max-in-degree 5 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 8 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 8 	NSUC.conn 0
5996	AB3	104225.5625	1126.13309431	105924	102036	D-edges 40 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 8 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 8 	NSUC.conn 0
5995	AAZ	104127.0625	734.642129607	105503	102278	D-edges 42 	D-max-degree 10 	D-min-degree 6 	D-max-in-degree 5 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 10 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 9 	NSUC.disc 9 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 9 	NSUC.conn 0
5994	2K	102804.6875	1771.87435075	105636	99536	D-edges 41 	D-max-degree 11 	D-min-degree 5 	D-max-in-degree 6 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 9 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 8 	NSUC.conn 0
5993	6Z	102735.625	1177.01480848	105065	100158	D-edges 40 	D-max-degree 10 	D-min-degree 6 	D-max-in-degree 5 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 8 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 8 	NSUC.conn 0
5992	ADI	102377.5625	1144.78687802	104208	99686	D-edges 42 	D-max-degree 10 	D-min-degree 6 	D-max-in-degree 5 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 9 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 8 	NSUC.conn 0
5991	5G	102010.9375	1493.8670234	104533	99661	D-edges 40 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 6 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 9 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 8 	NSUC.conn 0
5990	4K	101567.1875	1029.07010322	103258	99152	D-edges 40 	D-max-degree 11 	D-min-degree 5 	D-max-in-degree 6 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 9 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 8 	NSUC.conn 0
5989	ADH	101049.625	2204.26274168	104105	94183	D-edges 41 	D-max-degree 10 	D-min-degree 6 	D-max-in-degree 5 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 9 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 8 	NSUC.conn 0
5988	YU	95755.1875	1751.47046145	97911	91213	D-edges 41 	D-max-degree 11 	D-min-degree 5 	D-max-in-degree 6 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 10 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 9 	NSUC.disc 9 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 9 	NSUC.conn 0
5987	26	92027.3125	2941.95234323	96841	84978	D-edges 42 	D-max-degree 10 	D-min-degree 6 	D-max-in-degree 5 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 10 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 9 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5986	ZD	91395.375	804.215912784	92675	89165	D-edges 41 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 6 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 9 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5985	VR	79042.9375	1987.79936326	82120	74002	D-edges 41 	D-max-degree 10 	D-min-degree 5 	D-max-in-degree 6 	D-min-in-degree 3 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 2 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0
5984	RE	78947.8125	1578.413413	81127	74364	D-edges 42 	D-max-degree 11 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 3 	D-max-out-degree 5 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0
5983	TE	78254.25	1420.44027066	80360	76021	D-edges 46 	D-max-degree 11 	D-min-degree 7 	D-max-in-degree 7 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 7 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0
5982	WX	75457.4375	1467.08626914	77559	72210	D-edges 44 	D-max-degree 12 	D-min-degree 4 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 10 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 9 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 9 	NSUC.conn 0
5981	W5	75112.0625	1661.46288962	77639	71354	D-edges 43 	D-max-degree 12 	D-min-degree 4 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 10 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 9 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 9 	NSUC.conn 0
5980	XF	74928.9375	9729.68564798	80886	37686	D-edges 39 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 2 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0
5979	R6	74540.625	2200.46418043	78186	71539	D-edges 46 	D-max-degree 11 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0
5978	WH	74502.625	1379.31277612	77283	71794	D-edges 44 	D-max-degree 12 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0
5977	XG	74128.6875	3978.73349382	79767	62289	D-edges 43 	D-max-degree 11 	D-min-degree 7 	D-max-in-degree 7 	D-min-in-degree 3 	D-max-out-degree 5 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0
5976	UT	74100.0625	1569.10752773	76990	71556	D-edges 45 	D-max-degree 12 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0
5975	T4	73470.6875	1827.58815515	76848	68782	D-edges 45 	D-max-degree 12 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0
5974	UR	73226.625	2163.73155321	75866	69293	D-edges 47 	D-max-degree 11 	D-min-degree 7 	D-max-in-degree 7 	D-min-in-degree 4 	D-max-out-degree 7 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0
5973	R3	70949.25	583.23756952	71994	69963	D-edges 41 	D-max-degree 11 	D-min-degree 5 	D-max-in-degree 6 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
