
5999	B6T	6940.5	89.9485964315	7149	6750	D-edges 229 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5998	BUD	6939.6875	88.6486877723	7101	6738	D-edges 227 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 16 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5997	CAL	6930.8125	57.3685658157	7047	6829	D-edges 230 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 16 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 65 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5996	B3M	6928.75	75.8860164984	7102	6783	D-edges 231 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 66 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5995	B3N	6913.9375	69.0972763121	7065	6811	D-edges 228 	D-max-degree 27 	D-min-degree 16 	D-max-in-degree 16 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5994	BWB	6913.0625	66.6684602623	7019	6735	D-edges 226 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5993	B6V	6912.8125	80.3571860119	7080	6772	D-edges 228 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5992	B5T	6912.3125	48.1841762797	7002	6828	D-edges 230 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 16 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 65 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5991	BWU	6911.625	59.301006526	7030	6779	D-edges 230 	D-max-degree 27 	D-min-degree 16 	D-max-in-degree 16 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 65 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5990	B2T	6909.6875	69.6183513432	7033	6812	D-edges 227 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 16 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5989	B7N	6905.5625	74.01939674	7046	6791	D-edges 230 	D-max-degree 27 	D-min-degree 15 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 16 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 65 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5988	BXK	6898.8125	73.6513906437	7035	6768	D-edges 228 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5987	B77	6895.75	67.8099365875	7043	6792	D-edges 229 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 16 	D-min-in-degree 8 	D-max-out-degree 16 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5986	BXJ	6892.8125	48.862330519	6969	6789	D-edges 227 	D-max-degree 27 	D-min-degree 15 	D-max-in-degree 16 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5985	BXN	6890.0	53.371340624	7037	6817	D-edges 225 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5984	B7O	6889.0625	50.2138784974	6952	6764	D-edges 229 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
