# generation	 generation_size	 entropy	 age_avg	 size_avg	 fitness_avg	 fitness_max	 fitness_min	 sigma	 tau	 evaluations
1	 40	 0	 1	 96	 12543	 49032.8	 3843.31	 0.9	 2	 40
2	 8	 7.49941	 1.575	 96	 14725.6	 57192.9	 8222.5	 0.91	 2	 48
3	 7	 7.51199	 1.975	 96	 17027.6	 57192.9	 9889.94	 0.91	 2	 55
4	 7	 7.52203	 2.35	 96	 17370.9	 57192.9	 10527.4	 0.91	 2	 62
5	 5	 7.52622	 2.725	 96	 17799	 57192.9	 10874.2	 0.819	 2	 67
6	 7	 7.52626	 3.075	 96	 17985.5	 57192.9	 11181.8	 0.819	 2	 74
7	 8	 7.57545	 3.2	 96	 18400.3	 57192.9	 11554.8	 0.819	 2	 82
8	 9	 7.59457	 3.4	 96	 19356.9	 57192.9	 11933.2	 0.7371	 2	 91
9	 5	 7.59438	 3.7	 96	 20757.7	 57192.9	 12471.8	 0.7371	 2	 96
10	 6	 7.55524	 3.9	 96	 22018.6	 57192.9	 13044.2	 0.7371	 2	 102
11	 8	 7.54248	 3.725	 96	 22982.7	 57192.9	 13702	 0.7371	 2	 110
12	 7	 7.5948	 3.625	 96	 24774	 57192.9	 13855.4	 0.7371	 2	 117
13	 7	 7.58801	 3.65	 96	 25221.3	 57192.9	 14187	 0.7371	 2	 124
14	 6	 7.56856	 3.475	 96	 26202.4	 57192.9	 14607.8	 0.7371	 2	 130
15	 6	 7.4619	 3.45	 96	 28215	 57192.9	 15212.9	 0.7371	 2	 136
16	 7	 7.35022	 3.775	 96	 30017.7	 57192.9	 16294.1	 0.7371	 2	 143
17	 3	 7.318	 4.175	 96	 30885.9	 57192.9	 17815.7	 0.7371	 2	 146
18	 8	 7.29543	 3.95	 96	 32303.4	 57192.9	 18173.6	 0.7371	 2	 154
19	 7	 7.32682	 3.925	 96	 33775.5	 57192.9	 19321.6	 0.7371	 2	 161
20	 8	 7.36963	 3.625	 96	 36950.2	 57192.9	 24330	 0.7371	 2	 169
21	 8	 7.38086	 3.775	 96	 37039.6	 57192.9	 25010.2	 0.7371	 2	 177
22	 7	 7.36388	 4.15	 96	 38759	 57192.9	 25243.9	 0.7371	 2	 184
23	 7	 7.36202	 3.85	 96	 40586.2	 57192.9	 26832.9	 0.66339	 2	 191
24	 6	 7.40837	 3.975	 96	 42827.5	 57192.9	 27442.8	 0.66339	 2	 197
25	 8	 7.40011	 4.25	 96	 44051.6	 65786.2	 28594.8	 0.697051	 2	 205
26	 6	 7.42029	 4.125	 96	 46369.6	 65786.2	 28965.3	 0.697051	 2	 211
27	 7	 7.43392	 3.825	 96	 48960.1	 65786.2	 30886.8	 0.697051	 2	 218
28	 7	 7.42618	 4.025	 96	 49854.6	 65786.2	 33494.8	 0.697051	 2	 225
29	 5	 7.39753	 4	 96	 51174.6	 65786.2	 44228.6	 0.697051	 2	 230
30	 7	 7.39623	 4.275	 96	 51380.5	 65786.2	 45359.1	 0.697051	 2	 237
31	 6	 7.37606	 4.225	 96	 51585.8	 65786.2	 48272.1	 0.697051	 2	 243
32	 5	 7.3827	 4.625	 96	 51845.5	 65786.2	 48419.8	 0.697051	 2	 248
33	 7	 7.41079	 4.725	 96	 52159.1	 65786.2	 48608.9	 0.697051	 2	 255
34	 7	 7.43377	 4.6	 96	 52708.5	 65786.2	 48759.8	 0.697051	 2	 262
