# generation	 generation_size	 entropy	 age_avg	 size_avg	 fitness_avg	 fitness_max	 fitness_min	 sigma	 tau	 evaluations
1	 40	 0	 1	 386	 10095.6	 14771.1	 7872.94	 0.9	 2	 40
2	 9	 10.6483	 1.55	 386	 10349.8	 14771.1	 8904.5	 0.9	 2	 49
3	 7	 10.6316	 2.025	 386	 10672	 14771.1	 9207.38	 0.9	 2	 56
4	 5	 10.6043	 2.525	 386	 10908.9	 15096.9	 9745.38	 0.91	 2	 61
5	 7	 10.587	 2.85	 386	 11024.9	 15096.9	 9858.69	 0.91	 2	 68
6	 7	 10.5308	 2.9	 386	 11234.1	 15096.9	 10026.3	 0.91	 2	 75
7	 8	 10.5112	 3	 386	 11425.2	 15096.9	 10372.8	 0.91	 2	 83
8	 8	 10.5077	 3.425	 386	 11469.2	 15096.9	 10441.8	 0.91	 2	 91
9	 7	 10.5034	 3.475	 386	 11680	 15096.9	 10616.7	 0.91	 2	 98
10	 7	 10.4631	 3.725	 386	 11905.6	 15096.9	 10729.2	 0.91	 2	 105
11	 8	 10.4115	 3.075	 386	 12099.9	 15096.9	 10896.9	 0.91	 2	 113
12	 7	 10.3427	 3.175	 386	 12447.5	 18029.6	 11029.7	 0.919	 2	 120
13	 8	 10.3327	 3.475	 386	 12552.1	 18029.6	 11178.8	 0.919	 2	 128
14	 9	 10.2574	 3.225	 386	 12943.6	 18029.6	 11422.6	 0.919	 2	 137
15	 8	 10.2018	 3.1	 386	 14888	 85024.8	 11601.1	 0.9271	 2	 145
16	 7	 10.1444	 3.225	 386	 14912.3	 85024.8	 11870.1	 0.83439	 2	 152
17	 7	 10.1365	 3.2	 386	 16853.5	 87307.1	 11957.5	 0.850951	 2	 159
18	 5	 10.1459	 3.65	 386	 16930.3	 87307.1	 12066.6	 0.765856	 2	 164
19	 7	 10.134	 3.725	 386	 17050.5	 87307.1	 12191.4	 0.765856	 2	 171
20	 8	 10.0883	 3.9	 386	 19086	 91826.6	 12237.1	 0.78927	 2	 179
21	 7	 10.085	 3.825	 386	 23075.2	 93100.4	 12546.2	 0.810343	 2	 186
22	 5	 10.0752	 3.8	 386	 25003.3	 93100.4	 12737	 0.810343	 2	 191
23	 4	 10.0745	 4.1	 386	 25113.9	 93100.4	 12846.4	 0.810343	 2	 195
24	 3	 10.0674	 4.825	 386	 25142.7	 93100.4	 12862.9	 0.729309	 2	 198
25	 6	 10.0626	 4.8	 386	 25275.2	 93100.4	 13127.8	 0.729309	 2	 204
26	 6	 10.0235	 4.2	 386	 27200.7	 93100.4	 13506.8	 0.729309	 2	 210
27	 8	 10.0286	 4.075	 386	 27271.9	 93100.4	 13619.5	 0.656378	 2	 218
28	 3	 10.0039	 4.125	 386	 27340.9	 93100.4	 13697.6	 0.656378	 2	 221
29	 6	 9.96793	 3.85	 386	 32817.8	 93100.4	 13999.9	 0.656378	 2	 227
30	 7	 9.93365	 3.975	 386	 36493.7	 93100.4	 14175.8	 0.656378	 2	 234
31	 7	 9.89663	 4.325	 386	 36601.8	 93100.4	 14310.2	 0.656378	 2	 241
32	 6	 9.88422	 4.85	 386	 36617.4	 93100.4	 14315.6	 0.656378	 2	 247
33	 7	 9.79185	 4.475	 386	 42068.2	 93100.4	 14438.6	 0.656378	 2	 254
34	 10	 9.73008	 3.825	 386	 49239.5	 93698.4	 14606.1	 0.69074	 2	 264
35	 8	 9.71272	 3.85	 386	 52949.3	 93698.4	 14771.1	 0.69074	 2	 272
36	 6	 9.63577	 3.275	 386	 56618.6	 93698.4	 14952	 0.69074	 2	 278
37	 8	 9.60509	 3.35	 386	 60245.5	 93698.4	 15096.9	 0.69074	 2	 286
38	 8	 9.53525	 3.4	 386	 65653.5	 93698.4	 15417.9	 0.69074	 2	 294
39	 8	 9.471	 3.525	 386	 76351.7	 93698.4	 16035.6	 0.69074	 2	 302
40	 7	 9.30636	 3.325	 386	 85146.8	 93698.4	 18650.2	 0.69074	 2	 309
41	 9	 9.27353	 3	 386	 87424.9	 93698.4	 85380.4	 0.69074	 2	 318
42	 8	 9.29995	 3	 386	 87571	 93698.4	 85722.7	 0.69074	 2	 326
43	 6	 9.31776	 3.075	 386	 87874.5	 93792.5	 86195.5	 0.721666	 2	 332
44	 4	 9.31694	 3.575	 386	 87930.7	 93792.5	 86268.6	 0.721666	 2	 336
45	 8	 9.37419	 3.625	 386	 88256.8	 93792.5	 86479	 0.721666	 2	 344
46	 4	 9.36518	 4.075	 386	 88303.8	 93792.5	 86602.9	 0.721666	 2	 348
47	 5	 9.37113	 4.25	 386	 88378.8	 93792.5	 86676.8	 0.721666	 2	 353
48	 7	 9.37202	 4.125	 386	 88492.3	 93792.5	 86777.9	 0.721666	 2	 360
49	 5	 9.39984	 4.325	 386	 88606.8	 93792.5	 86983.8	 0.721666	 2	 365
50	 3	 9.42374	 4.8	 386	 88845.6	 94643.5	 87036.8	 0.7495	 2	 368
51	 6	 9.47581	 4.525	 386	 89186.7	 94643.5	 87118.6	 0.7495	 2	 374
52	 6	 9.49914	 4.775	 386	 89386.5	 94643.5	 87242.9	 0.7495	 2	 380
53	 7	 9.52035	 4.575	 386	 89691.8	 94643.5	 87435.6	 0.7495	 2	 387
54	 9	 9.54596	 4.175	 386	 90199.9	 94643.5	 87714.9	 0.7495	 2	 396
55	 6	 9.57577	 3.825	 386	 90540.5	 94643.5	 88012.4	 0.7495	 2	 402
56	 7	 9.57431	 3.75	 386	 90640.5	 94643.5	 88179.6	 0.67455	 2	 409
57	 9	 9.57737	 3.85	 386	 90962.6	 94643.5	 88280.3	 0.67455	 2	 418
58	 8	 9.56058	 3.35	 386	 91339.1	 94643.5	 89140.8	 0.67455	 2	 426
59	 8	 9.53452	 3.6	 386	 91602.1	 95545.3	 89178.4	 0.707095	 2	 434
60	 8	 9.47148	 3.5	 386	 92114.4	 95615.6	 89620	 0.736385	 2	 442
61	 6	 9.40994	 3.7	 386	 92342.3	 95615.6	 89729.2	 0.736385	 2	 448
62	 4	 9.37248	 3.825	 386	 92618.1	 95615.6	 90316.8	 0.736385	 2	 452
63	 7	 9.31129	 3.825	 386	 92914.9	 95615.6	 90819.4	 0.662747	 2	 459
64	 4	 9.31691	 3.975	 386	 93114.6	 95615.6	 91377.9	 0.662747	 2	 463
65	 9	 9.37171	 3.95	 386	 93333.6	 95615.6	 91674.5	 0.662747	 2	 472
66	 7	 9.36469	 4.3	 386	 93580.3	 97104.4	 91826.6	 0.696472	 2	 479
67	 4	 9.36121	 4.225	 386	 93689.3	 97104.4	 92266	 0.696472	 2	 483
68	 7	 9.32856	 4.2	 386	 93915.7	 97104.4	 92416.9	 0.696472	 2	 490
69	 7	 9.29998	 3.7	 386	 94140.4	 97104.4	 92806.5	 0.696472	 2	 497
70	 4	 9.30127	 3.875	 386	 94265	 97104.4	 93076.2	 0.696472	 2	 501
71	 7	 9.24393	 3.5	 386	 94401.3	 97104.4	 93412.9	 0.696472	 2	 508
72	 6	 9.23051	 3.9	 386	 94418.9	 97104.4	 93535.8	 0.696472	 2	 514
73	 8	 9.22085	 3.775	 386	 94540.3	 97104.4	 93589.9	 0.696472	 2	 522
74	 5	 9.22043	 4.075	 386	 94636.8	 97104.4	 93647.2	 0.696472	 2	 527
75	 4	 9.22666	 4.15	 386	 94702.3	 97104.4	 93752.9	 0.696472	 2	 531
76	 6	 9.21498	 4.225	 386	 94776	 97104.4	 93893.2	 0.696472	 2	 537
77	 7	 9.21879	 4.25	 386	 94836.3	 97104.4	 93965.4	 0.696472	 2	 544
78	 5	 9.21436	 4.375	 386	 94944.6	 97104.4	 94218.9	 0.696472	 2	 549
79	 7	 9.22405	 4.825	 386	 95022.3	 97104.4	 94272.6	 0.696472	 2	 556
80	 7	 9.22288	 5.25	 386	 95045.4	 97104.4	 94375.2	 0.626825	 2	 563
81	 5	 9.15184	 5.2	 386	 95142.3	 97104.4	 94434.2	 0.626825	 2	 568
82	 5	 9.14949	 5.625	 386	 95150.2	 97104.4	 94484.2	 0.564142	 2	 573
83	 5	 9.14968	 6.025	 386	 95160.6	 97104.4	 94504.9	 0.507728	 2	 578
84	 5	 9.15169	 6.525	 386	 95211.3	 97104.4	 94537.9	 0.507728	 2	 583
85	 5	 9.15317	 6.95	 386	 95260.5	 97104.4	 94591.2	 0.507728	 2	 588
86	 4	 9.14841	 7.325	 386	 95274.8	 97104.4	 94593.3	 0.507728	 2	 592
87	 5	 9.15043	 7.3	 386	 95282	 97104.4	 94610.9	 0.507728	 2	 597
88	 5	 9.15043	 8.05	 386	 95282	 97104.4	 94610.9	 0.456955	 2	 602
89	 8	 9.14575	 6.7	 386	 95325.9	 97104.4	 94722.9	 0.41126	 2	 610
90	 9	 9.14409	 6.575	 386	 95348.2	 97104.4	 94736.7	 0.370134	 2	 619
91	 5	 9.14337	 6.7	 386	 95374.7	 97104.4	 94764.6	 0.370134	 2	 624
92	 5	 9.14047	 7.3	 386	 95432.3	 97104.4	 94880.6	 0.370134	 2	 629
93	 6	 9.13678	 7.6	 386	 95473.3	 97104.4	 94939.4	 0.33312	 2	 635
