
5999	DGI	1115.375	41.4726943301	1164	995	D-edges 349 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 12 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 29 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 26 	NSUC.disc 12 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 12
5998	B6T	1115.3125	27.9569283676	1173	1061	D-edges 345 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 25 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 24 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 10
5997	C6E	1114.5	20.8566536146	1148	1077	D-edges 357 	D-max-degree 22 	D-min-degree 6 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 28 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 26 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 10
5996	DGV	1112.4375	40.7169632187	1157	976	D-edges 351 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 25 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 24 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 10
5995	BT2	1111.9375	21.5797032823	1143	1076	D-edges 356 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 27 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 24 	DD 25 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 10
5994	CV5	1111.5	35.6124978062	1162	1005	D-edges 352 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 28 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 26 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 21 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 10
5993	CW2	1110.125	48.2116103755	1157	959	D-edges 351 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 28 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 26 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 21 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 10
5992	CAI	1109.1875	16.8345580206	1136	1080	D-edges 350 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 25 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 24 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 10
5991	CLN	1106.6875	22.1210271857	1146	1053	D-edges 349 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 25 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 24 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 10
5990	BRC	1106.625	13.4623317074	1138	1087	D-edges 352 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 25 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 24 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 10
5989	DE5	1105.75	47.4967104124	1161	993	D-edges 343 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 26 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 21 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 10
