# generation	 generation_size	 entropy	 age_avg	 size_avg	 fitness_avg	 fitness_max	 fitness_min	 sigma	 tau	 evaluations
1	 40	 0	 1	 386	 5481.71	 13017.3	 1306.44	 0.9	 2	 40
2	 8	 8.25177	 1.6	 386	 6500	 13212.9	 2833.88	 0.91	 2	 48
3	 6	 8.26144	 2.1	 386	 6967.96	 13212.9	 3430.69	 0.819	 2	 54
4	 6	 8.24907	 2.625	 386	 7289.38	 13212.9	 3602.56	 0.819	 2	 60
5	 8	 8.23003	 2.775	 386	 7725.56	 13212.9	 4195.31	 0.819	 2	 68
6	 7	 8.21632	 3.175	 386	 8585.93	 13212.9	 4503.19	 0.819	 2	 75
7	 8	 8.22567	 3.175	 386	 9057.88	 13212.9	 4871.06	 0.819	 2	 83
8	 9	 8.19932	 3.45	 386	 9646.14	 13212.9	 4956.44	 0.819	 2	 92
9	 5	 8.17534	 3.825	 386	 10031	 13212.9	 5139.75	 0.819	 2	 97
10	 7	 8.1842	 4.375	 386	 10238.3	 13212.9	 5218.25	 0.819	 2	 104
11	 8	 8.19043	 4.525	 386	 10473.6	 13212.9	 5337.75	 0.7371	 2	 112
12	 5	 8.19197	 4.625	 386	 11113.7	 13212.9	 5637.19	 0.7371	 2	 117
13	 6	 8.21075	 4.5	 386	 11788.7	 13212.9	 6075.06	 0.7371	 2	 123
14	 3	 8.18468	 4.575	 386	 12118.9	 13212.9	 8588.06	 0.7371	 2	 126
15	 7	 8.17235	 4.95	 386	 12484.2	 13212.9	 11496.3	 0.7371	 2	 133
16	 5	 8.13225	 4.675	 386	 12589.8	 13212.9	 11859	 0.7371	 2	 138
17	 6	 8.08594	 4.6	 386	 12667.1	 13212.9	 12105.6	 0.7371	 2	 144
18	 6	 8.04626	 4.825	 386	 12717	 13212.9	 12142.6	 0.66339	 2	 150
19	 6	 8.02193	 4.875	 386	 12761	 13212.9	 12352.3	 0.66339	 2	 156
20	 4	 8.02018	 5.25	 386	 12771	 13212.9	 12409.5	 0.597051	 2	 160
21	 8	 7.99223	 5.25	 386	 12803.2	 13212.9	 12561.8	 0.597051	 2	 168
22	 6	 7.96981	 5.475	 386	 12815.6	 13212.9	 12613.1	 0.597051	 2	 174
23	 5	 7.96102	 5.35	 386	 12832.3	 13212.9	 12697.1	 0.597051	 2	 179
24	 8	 7.92811	 5.425	 386	 12843.4	 13212.9	 12729.6	 0.597051	 2	 187
25	 4	 7.92411	 5.875	 386	 12851.1	 13212.9	 12733.8	 0.597051	 2	 191
26	 6	 7.88929	 6	 386	 12856	 13212.9	 12743.4	 0.537346	 2	 197
27	 4	 7.88793	 6.475	 386	 12857.9	 13212.9	 12749.6	 0.537346	 2	 201
28	 6	 7.86469	 6.325	 386	 12861.1	 13212.9	 12758.1	 0.537346	 2	 207
29	 6	 7.86667	 6.875	 386	 12883.2	 13230.6	 12773.1	 0.583611	 2	 213
30	 5	 7.86941	 6.4	 386	 12899.5	 13230.6	 12785.1	 0.583611	 2	 218
31	 4	 7.86691	 6.425	 386	 12907.6	 13230.6	 12792.3	 0.583611	 2	 222
32	 3	 7.86871	 6.4	 386	 12910.5	 13230.6	 12806.1	 0.52525	 2	 225
33	 3	 7.87195	 5.95	 386	 12919.7	 13230.6	 12814	 0.472725	 2	 228
34	 3	 7.87155	 5.6	 386	 12933.2	 13230.6	 12823.8	 0.472725	 2	 231
35	 5	 7.87002	 6.275	 386	 12935.8	 13230.6	 12826	 0.472725	 2	 236
36	 3	 7.86523	 6.05	 386	 12943.5	 13230.6	 12835.9	 0.472725	 2	 239
37	 5	 7.89177	 5.35	 386	 12961.1	 13230.6	 12853.4	 0.472725	 2	 244
38	 4	 7.89379	 5.675	 386	 12974.7	 13230.6	 12862.7	 0.472725	 2	 248
39	 3	 7.89501	 5.575	 386	 12980.4	 13230.6	 12879.3	 0.425453	 2	 251
40	 3	 7.90539	 5.525	 386	 12982.5	 13230.6	 12882.4	 0.425453	 2	 254
41	 5	 7.91105	 4.85	 386	 12995.5	 13230.6	 12889.1	 0.425453	 2	 259
42	 4	 7.91198	 5.15	 386	 12998.8	 13230.6	 12897.8	 0.425453	 2	 263
43	 4	 7.91112	 5.75	 386	 12999.3	 13230.6	 12907.2	 0.382907	 2	 267
44	 4	 7.8961	 5.775	 386	 13002.6	 13230.6	 12910.7	 0.382907	 2	 271
45	 3	 7.8961	 6.525	 386	 13002.6	 13230.6	 12910.7	 0.344617	 2	 274
46	 5	 7.88688	 6.65	 386	 13009	 13230.6	 12913.9	 0.344617	 2	 279
47	 4	 7.85311	 6.35	 386	 13015.2	 13230.6	 12919	 0.344617	 2	 283
48	 4	 7.85205	 6.8	 386	 13027.5	 13323.9	 12924.4	 0.410155	 2	 287
49	 5	 7.84084	 7.025	 386	 13032.2	 13323.9	 12925.1	 0.410155	 2	 292
50	 5	 7.80389	 6.075	 386	 13040.1	 13323.9	 12927.1	 0.410155	 2	 297
51	 4	 7.77379	 5.925	 386	 13047.8	 13323.9	 12940.8	 0.410155	 2	 301
52	 7	 7.78193	 6.05	 386	 13071	 13495.3	 12956.6	 0.469139	 2	 308
53	 5	 7.76628	 5.975	 386	 13080.2	 13495.3	 12969	 0.469139	 2	 313
54	 5	 7.75047	 6	 386	 13093.7	 13495.3	 12983.4	 0.469139	 2	 318
55	 6	 7.68749	 5.675	 386	 13106.6	 13495.3	 12994.4	 0.469139	 2	 324
56	 6	 7.68595	 5.35	 386	 13114.8	 13495.3	 13017.3	 0.469139	 2	 330
57	 4	 7.62882	 4.275	 386	 13125.5	 13495.3	 13028.6	 0.469139	 2	 334
58	 6	 7.6309	 4.325	 386	 13131.8	 13495.3	 13033.2	 0.469139	 2	 340
59	 3	 7.62192	 4.95	 386	 13140.6	 13495.3	 13035.3	 0.469139	 2	 343
60	 5	 7.60209	 5.15	 386	 13153.5	 13495.3	 13048.3	 0.469139	 2	 348
61	 6	 7.60216	 4.825	 386	 13156.2	 13495.3	 13052.7	 0.469139	 2	 354
62	 5	 7.57922	 4.625	 386	 13164.6	 13495.3	 13064.6	 0.469139	 2	 359
63	 5	 7.55215	 4.675	 386	 13177.8	 13495.3	 13068	 0.469139	 2	 364
64	 3	 7.55215	 5.425	 386	 13177.8	 13495.3	 13068	 0.422226	 2	 367
65	 5	 7.47439	 5.45	 386	 13188.8	 13495.3	 13075.2	 0.422226	 2	 372
66	 3	 7.45598	 5.7	 386	 13196.6	 13495.3	 13084.1	 0.422226	 2	 375
67	 3	 7.43427	 6.075	 386	 13199.5	 13495.3	 13088.5	 0.422226	 2	 378
68	 3	 7.35082	 6.075	 386	 13205.2	 13495.3	 13095.1	 0.422226	 2	 381
69	 3	 7.35323	 6.175	 386	 13216.6	 13495.3	 13104.5	 0.422226	 2	 384
70	 3	 7.31899	 6.5	 386	 13218.4	 13495.3	 13106	 0.380003	 2	 387
71	 4	 7.283	 6.125	 386	 13229.6	 13495.3	 13132.3	 0.380003	 2	 391
72	 4	 7.28442	 6.7	 386	 13230	 13495.3	 13133.6	 0.342003	 2	 395
73	 5	 7.25631	 6.8	 386	 13240.3	 13495.3	 13149.6	 0.342003	 2	 400
74	 5	 7.25928	 6.125	 386	 13247.7	 13495.3	 13154.2	 0.342003	 2	 405
75	 5	 7.25923	 6.625	 386	 13251.5	 13495.3	 13166.2	 0.307802	 2	 410
76	 5	 7.25994	 6.625	 386	 13257.9	 13495.3	 13194.6	 0.307802	 2	 415
77	 4	 7.25994	 7.375	 386	 13257.9	 13495.3	 13194.6	 0.277022	 2	 419
78	 2	 7.25994	 8.125	 386	 13257.9	 13495.3	 13194.6	 0.24932	 2	 421
79	 5	 7.2613	 7.625	 386	 13262.2	 13495.3	 13200.4	 0.24932	 2	 426
80	 3	 7.26319	 7.325	 386	 13265.6	 13495.3	 13205.8	 0.24932	 2	 429
81	 2	 7.26496	 7.5	 386	 13268.7	 13495.3	 13209.9	 0.24932	 2	 431
82	 4	 7.26619	 7.675	 386	 13271.3	 13495.3	 13212.9	 0.24932	 2	 435
83	 4	 7.26861	 7.275	 386	 13274.4	 13495.3	 13216.6	 0.24932	 2	 439
84	 5	 7.2671	 7.925	 386	 13277	 13495.3	 13219.2	 0.224388	 2	 444
85	 6	 7.26942	 7.1	 386	 13280.5	 13495.3	 13227.9	 0.224388	 2	 450
86	 6	 7.27015	 7.55	 386	 13282.7	 13495.3	 13228.3	 0.224388	 2	 456
87	 5	 7.26856	 7.825	 386	 13284.2	 13495.3	 13229.9	 0.224388	 2	 461
88	 3	 7.26977	 7.575	 386	 13286.1	 13495.3	 13230.6	 0.224388	 2	 464
89	 5	 7.28866	 6.55	 386	 13295	 13495.3	 13234.5	 0.224388	 2	 469
90	 4	 7.2897	 5.95	 386	 13296	 13495.3	 13242	 0.201949	 2	 473
91	 3	 7.28791	 6.525	 386	 13300.7	 13495.3	 13247.6	 0.201949	 2	 476
92	 5	 7.28743	 6.8	 386	 13300.9	 13495.3	 13247.9	 0.201949	 2	 481
93	 5	 7.28596	 6.075	 386	 13307.1	 13495.3	 13249	 0.201949	 2	 486
94	 7	 7.29981	 6.575	 386	 13311.1	 13495.3	 13252.6	 0.201949	 2	 493
95	 4	 7.29983	 6.925	 386	 13311.1	 13495.3	 13254.1	 0.181754	 2	 497
96	 6	 7.32874	 7.275	 386	 13323.3	 13536.2	 13256.6	 0.263579	 2	 503
97	 5	 7.33281	 6.925	 386	 13325.9	 13536.2	 13260.4	 0.237221	 2	 508
98	 7	 7.33281	 7.675	 386	 13325.9	 13536.2	 13260.4	 0.213499	 2	 515
99	 5	 7.33008	 7.3	 386	 13331.5	 13536.2	 13269.9	 0.213499	 2	 520
100	 5	 7.32903	 7.15	 386	 13333.5	 13536.2	 13273	 0.192149	 2	 525
101	 3	 7.33332	 7.85	 386	 13336.9	 13536.2	 13273.7	 0.192149	 2	 528
102	 4	 7.34634	 7.7	 386	 13339.2	 13536.2	 13281.3	 0.192149	 2	 532
103	 6	 7.35875	 8.1	 386	 13339.7	 13536.2	 13285.6	 0.172934	 2	 538
104	 4	 7.37502	 7.65	 386	 13346.9	 13536.2	 13288.5	 0.172934	 2	 542
105	 8	 7.38479	 7.525	 386	 13350.6	 13536.2	 13291.8	 0.172934	 2	 550
106	 8	 7.39592	 7.975	 386	 13350.7	 13536.2	 13294.1	 0.155641	 2	 558
107	 6	 7.39935	 8.375	 386	 13354.9	 13536.2	 13295.1	 0.155641	 2	 564
108	 5	 7.39691	 8.4	 386	 13357.7	 13536.2	 13301.2	 0.140077	 2	 569
109	 4	 7.39753	 9	 386	 13359.4	 13536.2	 13303.6	 0.140077	 2	 573
110	 4	 7.40867	 9.3	 386	 13365.6	 13536.2	 13307.4	 0.140077	 2	 577
111	 5	 7.42707	 8.65	 386	 13369.3	 13536.2	 13308.7	 0.126069	 2	 582
112	 5	 7.43823	 8.25	 386	 13376.5	 13536.2	 13313.1	 0.126069	 2	 587
113	 5	 7.45633	 6.925	 386	 13387.7	 13536.2	 13321.4	 0.126069	 2	 592
114	 4	 7.46352	 6.575	 386	 13393.1	 13536.2	 13327.9	 0.126069	 2	 596
115	 4	 7.47156	 5.975	 386	 13407.9	 13655.1	 13330.4	 0.213462	 2	 600
116	 7	 7.4695	 5.825	 386	 13413.5	 13655.1	 13337.2	 0.213462	 2	 607
117	 7	 7.47	 6.05	 386	 13415	 13655.1	 13339.9	 0.192116	 2	 614
118	 6	 7.47265	 5.55	 386	 13423.3	 13655.1	 13353.1	 0.192116	 2	 620
119	 5	 7.47339	 5.175	 386	 13425.9	 13655.1	 13358.9	 0.192116	 2	 625
120	 3	 7.47516	 5.325	 386	 13428.7	 13655.1	 13365.5	 0.192116	 2	 628
