# generation	 generation_size	 entropy	 age_avg	 size_avg	 fitness_avg	 fitness_max	 fitness_min	 sigma	 tau	 evaluations
1	 40	 0	 1	 96	 8055.8	 54323.1	 2436	 0.9	 2	 40
2	 6	 9.79233	 1.625	 96	 9425.9	 54323.1	 2680.94	 0.9	 2	 46
3	 8	 9.69044	 2.125	 96	 10048.3	 54323.1	 2816.62	 0.9	 2	 54
4	 6	 9.55694	 2.45	 96	 11609.8	 54323.1	 3153.44	 0.9	 2	 60
5	 6	 9.44684	 2.625	 96	 14253.7	 54323.1	 3549.12	 0.81	 2	 66
6	 6	 9.3376	 2.9	 96	 17316.5	 56875	 3753.5	 0.829	 2	 72
7	 8	 9.16954	 2.775	 96	 22336.4	 56875	 4303.25	 0.829	 2	 80
8	 7	 9.05963	 2.825	 96	 23571.9	 56875	 5048.12	 0.829	 2	 87
9	 8	 8.99599	 3.025	 96	 24398.3	 56875	 6068.25	 0.829	 2	 95
10	 7	 8.97768	 3.175	 96	 26198.9	 56875	 6406.94	 0.829	 2	 102
11	 7	 8.93421	 3.45	 96	 29643.3	 56875	 6499.31	 0.829	 2	 109
12	 6	 8.90514	 3.85	 96	 29707.6	 56875	 6675.94	 0.829	 2	 115
13	 8	 8.87746	 3.95	 96	 32664.1	 64213.8	 7439.12	 0.8461	 2	 123
14	 8	 8.75778	 3.575	 96	 38194.7	 64213.8	 10647.4	 0.8461	 2	 131
15	 5	 8.78543	 3.875	 96	 41263.9	 64213.8	 15008.8	 0.76149	 2	 136
16	 5	 8.80654	 4.175	 96	 44130.3	 64213.8	 16008.9	 0.76149	 2	 141
17	 8	 8.75648	 4.05	 96	 48144.5	 64213.8	 18041.6	 0.76149	 2	 149
18	 8	 8.68118	 3.65	 96	 51980.5	 64213.8	 44933.1	 0.76149	 2	 157
19	 7	 8.68768	 3.675	 96	 52738.2	 64213.8	 47335.9	 0.76149	 2	 164
20	 8	 8.6229	 3.6	 96	 53379.6	 64213.8	 49150.1	 0.76149	 2	 172
21	 7	 8.53293	 3.575	 96	 53758.5	 64213.8	 51808	 0.76149	 2	 179
22	 9	 8.50307	 3.925	 96	 53813.5	 64213.8	 52016.8	 0.685341	 2	 188
23	 9	 8.49721	 4.275	 96	 53923.5	 64213.8	 52366.7	 0.685341	 2	 197
24	 7	 8.5203	 4.2	 96	 54142.4	 64213.8	 52433.2	 0.685341	 2	 204
25	 8	 8.55026	 4.225	 96	 54720.3	 64213.8	 52685.7	 0.685341	 2	 212
26	 8	 8.5373	 3.95	 96	 54922	 64213.8	 53072.4	 0.685341	 2	 220
27	 8	 8.55897	 4.425	 96	 54944.1	 64213.8	 53126.1	 0.685341	 2	 228
28	 8	 8.60106	 4.2	 96	 55310.6	 64213.8	 53254.8	 0.685341	 2	 236
29	 5	 8.63347	 3.875	 96	 55627.3	 64213.8	 53295.6	 0.685341	 2	 241
30	 8	 8.63868	 4.2	 96	 55833.2	 64213.8	 53486.3	 0.685341	 2	 249
